"id_rider";"rider_full_name";"rider_weight";"rider_height";"loc_birth";"date_birth";"birth_latitude";"birth_longitude"
2165;Luca Marini;69;184;Urbino;1997-08-10;43,7262608;12,6363135
3343;Pedro Acosta;62;171;Mazarrón;2004-05-25;37,5986534;-1,3138511
2512;Tatsuki Suzuki;61;171;Chiba;1997-09-24;35,549399;140,2647303
1345;Yuki Takahashi;;;Saitama;1989-11-26;35,9754168;139,4160114
1734;Ben Spies;;;;;;
1635;Michael van der Mark;;;;;;
2834;Celestino Vietti;65;172;Cirie;2001-10-13;45,2352767;7,6003081
2297;Juan Francisco Guevara;62;164;Lorca;1995-08-19;37,6712139;-1,6990431
2159;Lorenzo Baldassarri;70;183;San Severino Marche;1996-11-06;43,2290211;13,1779663
2616;Marcos Ramírez;63;179;Conil de la Frontera;1997-12-16;36,277054;-6,0881874
712;Martín Cárdenas;;;;;;
2794;Sylvain Guintoli;;;;;;
256;Garry McCoy;;;;;;
3378;Xavier Artigas;61;180;Barcelona;2003-05-27;41,3828939;2,1774322
2409;Darryn Binder;63;175;Potchefstroom;1998-01-21;-26,707778;27,095833
2008;Maverick Viñales;64;171;Figueres;1995-01-12;42,2666314;2,9638434
479;Jarno Ronzoni;;;Turku;1945-12-11;60,4517531;22,2670522
3495;Pol Espargaró;64;170;Granollers;1991-06-10;41,6079555;2,2876008
3496;Raúl Fernández;68;179;Madrid;2000-10-23;40,4167047;-3,7035825
220;Andrea Dovizioso;;;Forlimpopoli;1986-03-23;44,1873049;12,1259056
244;Daniel Pedrosa;;;Sabadell;1985-09-29;41,5421013;2,1138977
1557;Efrén Vázquez;56;160;Barakaldo;1986-09-02;43,29548;-2,9900933
332;Miguel Praia;63;170;Pragal;1995-01-04;38,6662386;-9,1799968
1110;Nicolás Terol;66;171;Alcoy;1988-09-27;38,6982275;-0,4747767
574;Sylvain Guintoli;;;;;;
3049;Marc Márquez;64;169;Cervera;1993-02-17;41,6730667;1,2729426
330;Michele Pirro;69;177;San Giovanni Rotondo;1986-07-05;41,7069106;15,7288455
3521;Tetsuta Nagashima;51;163;Chiba;1970-06-14;35,549399;140,2647303
3673;Stefan Bradl;63;170;Augsburg;1989-11-29;48,3668041;10,8986971
198;Yohann Tiberio;;;;;;
806;Alessio Palumbo;;;Paterno;1985-09-08;40,378311;15,732769
1933;Danilo Petrucci;80;181;Terni;1990-10-24;42,6539486;12,439652829139407
2016;Mike Di Meglio;70;171;Toulouse;1988-01-17;43,6044622;1,4442469
1470;Pol Espargaró;64;170;Granollers;1991-06-10;41,6079555;2,2876008
3580;Fabio Quartararo;64;177;Nice;1999-04-20;43,7009358;7,2683912
3285;Franco Morbidelli;67;176;Rome;1994-12-04;41,8933203;12,4829321
2243;Arthur Sissis;;;;;;
1448;Marvin Fritz;;;;;;
2688;Broc Parkes;64;170;Hunter Region;1981-12-24;-32,8014931;151,72161319340788
2351;Ricard Cardús;;;;;;
2106;Dani Rivas;;;Sabadell;1985-09-29;41,5421013;2,1138977
2881;Jules Danilo;64;179;Milan;1995-05-18;45,4641943;9,1896346
1229;Gabriele Ferro;61;168;Barcelona;1996-10-12;41,3828939;2,1774322
3315;Lorenzo Baldassarri;70;183;San Severino Marche;1996-11-06;43,2290211;13,1779663
1451;Mattia Pasini;67;178;Rimini;1985-08-13;43,9470982;12,630768610516004
3525;Xavi Cardelús;63;175;Andorra la Vella;1998-05-15;42,5069391;1,5212467
199;Youichi Ui;;;Chiba;1972-11-27;35,549399;140,2647303
