"id_rider","id_team_fk","rider_full_name","rider_name","rider_lastname","season","rider_number","racing_class","rounds_string","rounds_participated","rider_weight","rider_height","loc_birth","date_birth","birth_latitude","birth_longitude"
2798,2789,Tatsuki Suzuki,Tatsuki,Suzuki,2017,24,moto3,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",61,171,Chiba,1997-09-24,35.549399,140.2647303
2178,2126,Michael Barnes,Michael,Barnes,2013,44,motogp,{2},{2},,,,1995-12-21,,
3283,3363,Filip Salač,Filip,Salač,2021,12,moto3,"{1,2,3,4,5,6,7,8}","{1,2,3,4,5,6,7,8}",66,172,Mlada Boleslav,2001-12-12,50.4116187,14.9031301
1038,1174,Doni Tata Pradita,Doni,Tata Pradita,2007,35,"250cc",{17},{17},,,,,,
522,420,Matthew Kuhne,Matthew,Kuhne,2004,46,"125cc",{15},{15},,,,,,
660,771,Gábor Rizmayer,Gábor,Rizmayer,2005,12,"250cc","{1,2,3,4,5,6,7}","{1,2,3,4,5,6,7}",,,,,,
1470,1384,Pol Espargaró,Pol,Espargaró,2009,44,"125cc","{1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17}","{1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17}",64,170,Granollers,1991-06-10,41.6079555,2.2876008
1035,1064,Dino Lombardi,Dino,Lombardi,2007,13,"125cc","{2,3,4,5,6,10,12,13,14,15,16,17,18}","{2,3,4,5,6,10,12,13,14,15,16,17,18}",,,,,,
1023,1124,Bradley Smith,Bradley,Smith,2007,38,"125cc","{1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18}",68,180,Oxford,1990-11-28,51.7520131,-1.2578499
1079,1126,Julián Simón,Julián,Simón,2007,60,"250cc","{1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18}",63,168,Villacañas,1987-04-03,39.625027,-3.333785
2103,2181,Damian Cudlin,Damian,Cudlin,2013,50,motogp,"{14,15,16,17,18}","{14,15,16,17,18}",,,,,,
2084,2130,Andrea Iannone,Andrea,Iannone,2013,29,motogp,"{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,10,11,12,13,14,15,16,17,18}",74,179,Vasto,1989-08-09,42.12434,14.705923
1208,1303,Dani Pedrosa,Dani,Pedrosa,2008,2,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13}","{1,2,3,4,5,6,7,8,9,10,11,12,13}",,,Sabadell,1985-09-29,41.5421013,2.1138977
2465,2479,Luis Salom,Luis,Salom,2015,39,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",59,170,Palma de Mallorca,1991-08-07,39.5695818,2.6500745
2459,2426,Loris Baz,Loris,Baz,2015,76,motogp,"{1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18}","{1,2,3,4,5,6,7,8,9,11,12,13,14,15,16,17,18}",79,191,Sallanches,1993-02-01,45.9361246,6.6302551
2711,2791,Francesco Bagnaia,Francesco,Bagnaia,2017,42,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",67,176,Torino,1997-01-14,45.0677551,7.6824892
914,888,Makoto Tamada,Makoto,Tamada,2006,6,motogp,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",61,171,Ehime,1976-11-04,33.6013646,132.8185275
2707,2761,Fabio Quartararo,Fabio,Quartararo,2017,40,moto2,"{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}","{1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20}",64,177,Nice,1999-04-20,43.7009358,7.2683912
