"id_constructor","des_constructor","racing_class","season"
85,Honda,motogp,2006
86,Ilmor X3,motogp,2006
87,Kawasaki,motogp,2006
88,KR211V,motogp,2006
89,KTM,"125cc",2006
90,KTM,"250cc",2006
91,Malaguti,"125cc",2006
92,Suzuki,motogp,2006
93,Yamaha,"125cc",2006
94,Yamaha,"250cc",2006
95,Yamaha,motogp,2006
96,Aprilia,"125cc",2007
97,Aprilia,"250cc",2007
98,Derbi,"125cc",2007
99,Ducati,motogp,2007
100,FGR,"125cc",2007
101,Friba,"125cc",2007
102,Gilera,"250cc",2007
103,Honda,"125cc",2007
104,Honda,"250cc",2007
105,Honda,motogp,2007
106,Ilmor GP,motogp,2007
107,Kawasaki,motogp,2007
108,KR212V,motogp,2007
109,KTM,"125cc",2007
110,KTM,"250cc",2007
111,Suzuki,motogp,2007
112,Yamaha,"125cc",2007
113,Yamaha,"250cc",2007
114,Yamaha,motogp,2007
115,Aprilia,"125cc",2008
116,Aprilia,"250cc",2008
117,Derbi,"125cc",2008
118,Ducati,motogp,2008
119,Gilera,"250cc",2008
120,Honda,"125cc",2008
121,Honda,"250cc",2008
122,Honda,motogp,2008
123,Kawasaki,motogp,2008
124,KTM,"125cc",2008
125,KTM,"250cc",2008
126,Loncin,"125cc",2008
127,Seel,"125cc",2008
128,Suzuki,motogp,2008
129,Yamaha,"125cc",2008
130,Yamaha,"250cc",2008
131,Yamaha,motogp,2008
132,Aprilia,"125cc",2009
133,Aprilia,"250cc",2009
134,Derbi,"125cc",2009
135,Ducati,motogp,2009
136,Gilera,"250cc",2009
137,Haojue,"125cc",2009
138,Honda,"125cc",2009
139,Honda,"250cc",2009
140,Honda,motogp,2009
141,Kawasaki,motogp,2009
142,KTM,"125cc",2009
143,Loncin,"125cc",2009
144,Suzuki,motogp,2009
145,Yamaha,"125cc",2009
146,Yamaha,"250cc",2009
147,Yamaha,motogp,2009
148,ADV,moto2,2010
149,AJR,moto2,2010
150,Aprilia,"125cc",2010
151,Bimota,moto2,2010
152,BQR-Moto2,moto2,2010
153,Derbi,"125cc",2010
154,Ducati,motogp,2010
155,Force GP210,moto2,2010
156,FTR,moto2,2010
157,Honda,"125cc",2010
158,Honda,motogp,2010
159,I.C.P.,moto2,2010
160,Kalex,moto2,2010
161,KTM,"125cc",2010
162,Lambretta,"125cc",2010
