"id_grandprix","id_track_fk","des_grandprix","num_round","num_laps","season","gp_date","saturday_race","night_race"
27,1,Grande Prémio Marlboro de Portugal,11,,2003,2003-09-07,false,false
28,2,Cinzano Rio Grand Prix,12,,2003,2003-09-20,true,false
29,16,Gauloises Pacific Grand Prix of Motegi,13,,2003,2003-10-05,false,false
30,13,Marlboro Malaysian Motorcycle Grand Prix,14,,2003,2003-10-12,false,false
31,17,SKYY vodka Australian Grand Prix,15,,2003,2003-10-19,false,false
32,6,Gran Premio Marlboro Comunitat Valenciana,16,,2003,2003-11-02,false,false
33,10,betandwin.com Africa's Grand Prix,1,,2004,2004-04-18,false,false
34,7,Gran Premio Marlboro de España,2,,2004,2004-05-02,false,false
35,4,Grand Prix Polini de France,3,,2004,2004-05-16,false,false
36,9,Gran Premio Cinzano d'Italia,4,,2004,2004-06-06,false,false
37,5,Gran Premi Gauloises de Catalunya,5,,2004,2004-06-13,false,false
38,15,Gauloises TT Assen,6,,2004,2004-06-26,true,false
39,2,Cinzano Rio Grand Prix,7,,2004,2004-07-04,false,false
40,12,Veltins Motorrad Grand Prix Deutschland,8,,2004,2004-07-18,false,false
41,8,Cinzano British Grand Prix,9,,2004,2004-07-25,false,false
42,3,Gauloises Grand Prix České republiky,10,,2004,2004-08-22,false,false
43,1,Grande Prémio Marlboro de Portugal,11,,2004,2004-09-05,false,false
44,16,Camel Grand Prix of Japan,12,,2004,2004-09-19,false,false
45,18,Marlboro Grand Prix of Qatar,13,,2004,2004-10-02,true,false
46,13,Marlboro Malaysian Motorcycle Grand Prix,14,,2004,2004-10-10,false,false
47,11,Cinzano Australian Grand Prix,15,,2004,2004-10-17,false,false
48,6,Gran Premio Marlboro Comunitat Valenciana,16,,2004,2004-10-31,false,false
49,7,Gran Premio Marlboro de España,1,,2005,2005-04-10,false,false
50,1,betandwin.com Grande Prémio de Portugal,2,,2005,2005-04-17,false,false
51,21,Taobao.com Grand Prix of China,3,,2005,2005-05-01,false,false
52,4,Grand Prix Alice de France,4,,2005,2005-05-15,false,false
53,9,Gran Premio Alice d'Italia,5,,2005,2005-06-05,false,false
54,5,Gran Premi Gauloises de Catalunya,6,,2005,2005-06-12,false,false
55,15,Gauloises TT Assen,7,,2005,2005-06-25,true,false
56,20,Red Bull U.S. Grand Prix,8,,2005,2005-07-10,false,false
57,8,betandwin.com British Grand Prix,9,,2005,2005-07-24,false,false
58,12,Alice Motorrad Grand Prix Deutschland,10,,2005,2005-07-31,false,false
59,3,Gauloises Grand Prix České republiky,11,,2005,2005-08-28,false,false
60,16,Grand Prix of Japan,12,,2005,2005-09-18,false,false
61,13,Marlboro Malaysian Motorcycle Grand Prix,13,,2005,2005-09-25,false,false
62,18,Marlboro Grand Prix of Qatar,14,,2005,2005-10-01,true,false
63,11,Polini Grand Prix of Australia,15,,2005,2005-10-16,false,false
64,19,Grand Prix of Turkey,16,,2005,2005-10-23,false,false
65,6,Gran Premio betandwin.com de la Comunitat Valenciana,17,,2005,2005-11-06,false,false
66,7,Gran Premio betandwin.com de España,1,,2006,2006-03-26,false,false
67,18,Commercialbank Grand Prix of Qatar,2,,2006,2006-04-08,true,false
68,19,Grand Prix of Turkey,3,,2006,2006-04-30,false,false
69,21,Polini Grand Prix of China,4,,2006,2006-05-14,false,false
70,4,Alice Grand Prix de France,5,,2006,2006-05-21,false,false
71,9,Gran Premio d'Italia Alice,6,,2006,2006-06-04,false,false
72,5,Gran Premi Cinzano de Catalunya,7,,2006,2006-06-18,false,false
73,15,A-Style TT Assen,8,,2006,2006-06-24,true,false
74,8,Gas British Grand Prix,9,,2006,2006-07-02,false,false
75,12,betandwin.com Motorrad Grand Prix Deutschland,10,,2006,2006-07-16,false,false
76,20,Red Bull U.S. Grand Prix,11,,2006,2006-07-23,false,false
77,3,Gauloises Grand Prix České republiky,12,,2006,2006-08-20,false,false
